"sample","name","distribution","size","cpu","real","gc","memory"
25,"filliatre","random",20,9832,9833,4412,5317339536
26,"filliatre","random",20,9909,9911,4420,5342062432
27,"filliatre","random",20,10099,10101,4449,5322070112
28,"filliatre","random",20,9777,9779,4357,5333079024
29,"filliatre","random",20,9760,9762,4372,5321143328
30,"filliatre","random",20,9735,9736,4370,5325667072
31,"filliatre","random",20,10006,10008,4427,5329813216
32,"filliatre","random",20,9773,9775,4388,5335326896
33,"filliatre","random",20,9953,9954,4408,5332503024
34,"filliatre","random",20,9988,9989,4421,5338418208
35,"filliatre","random",20,9791,9792,4393,5325050784
36,"filliatre","random",20,9849,9850,4397,5317774528
37,"filliatre","random",20,10033,10034,4431,5337877648
38,"filliatre","random",20,9883,9885,4431,5343302816
39,"filliatre","random",20,9883,9885,4409,5310842928
40,"filliatre","random",20,9872,9873,4417,5312883984
41,"filliatre","random",20,9908,9909,4418,5333653184
42,"filliatre","random",20,9964,9965,4426,5315779456
43,"filliatre","random",20,9969,9970,4425,5330297808
44,"filliatre","random",20,9847,9849,4385,5315925856
45,"filliatre","random",20,9987,9988,4437,5320957728
46,"filliatre","random",20,10031,10033,4436,5326318688
47,"filliatre","random",20,9955,9957,4429,5339450464
48,"filliatre","random",20,9853,9854,4408,5334045680
49,"filliatre","random",20,10103,10104,4440,5338392992
50,"filliatre","random",20,9913,9914,4424,5326403120
51,"filliatre","random",20,10103,10104,4426,5317938128
52,"filliatre","random",20,9985,9986,4422,5314175312
53,"filliatre","random",20,9970,9972,4409,5316514048
54,"filliatre","random",20,9937,9939,4402,5321561120
55,"filliatre","random",20,9949,9951,4412,5322635568
56,"filliatre","random",20,10001,10002,4416,5331725376
57,"filliatre","random",20,9800,9801,4385,5322208032
58,"filliatre","random",20,9852,9853,4417,5330023040
59,"filliatre","random",20,9981,9982,4408,5324156224
60,"filliatre","random",20,10048,10049,4396,5336851616
61,"filliatre","random",20,9861,9862,4420,5336855168
62,"filliatre","random",20,9801,9802,4384,5325804560
63,"filliatre","random",20,10001,10002,4419,5317461408
64,"filliatre","random",20,9876,9878,4388,5350074624
65,"filliatre","random",20,9957,9958,4424,5326825952
66,"filliatre","random",20,9883,9884,4412,5340517856
67,"filliatre","random",20,9910,9912,4428,5330432256
68,"filliatre","random",20,9909,9911,4420,5319163296
69,"filliatre","random",20,9828,9829,4416,5324184816
70,"filliatre","random",20,10003,10005,4422,5335445984
71,"filliatre","random",20,9842,9843,4351,5351523040
72,"filliatre","random",20,9893,9894,4385,5314778080
73,"filliatre","random",20,10093,10094,4436,5327654144
74,"filliatre","random",20,9934,9935,4424,5334651920
75,"filliatre","random",20,9778,9779,4387,5327186848
76,"filliatre","random",20,9973,9975,4422,5317215952
77,"filliatre","random",20,10039,10040,4437,5337733136
78,"filliatre","random",20,9855,9857,4410,5319473200
79,"filliatre","random",20,9968,9970,4429,5328700096
80,"filliatre","random",20,9843,9844,4408,5326270352
81,"filliatre","random",20,9835,9836,4405,5314468896
82,"filliatre","random",20,9970,9971,4395,5345928864
83,"filliatre","random",20,9835,9836,4416,5328414416
84,"filliatre","random",20,9943,9945,4434,5334840224
85,"filliatre","random",20,10059,10060,4418,5321130320
86,"filliatre","random",20,9918,9919,4431,5344106896
87,"filliatre","random",20,9822,9823,4382,5329311728
88,"filliatre","random",20,10045,10047,4413,5338873680
89,"filliatre","random",20,9862,9864,4414,5326407680
90,"filliatre","random",20,9883,9884,4412,5338987392
91,"filliatre","random",20,10053,10054,4442,5338301584
92,"filliatre","random",20,9926,9927,4407,5308012768
93,"filliatre","random",20,9965,9966,4418,5309984864
94,"filliatre","random",20,9875,9877,4405,5344048432
95,"filliatre","random",20,9878,9880,4410,5309912672
96,"filliatre","random",20,9854,9855,4407,5326705440
97,"filliatre","random",20,10048,10049,4450,5316501568
98,"filliatre","random",20,10052,10053,4449,5348260720
99,"filliatre","random",20,9825,9826,4412,5322569648
0,"kahrs","random",16,274,274,61,424032704
1,"kahrs","random",16,273,273,62,424554352
2,"kahrs","random",16,277,277,62,424490064
3,"kahrs","random",16,282,282,63,425694368
4,"kahrs","random",16,272,272,61,425483968
5,"kahrs","random",16,273,273,62,424521872
6,"kahrs","random",16,274,274,62,425880976
7,"kahrs","random",16,272,272,61,424757408
8,"kahrs","random",16,274,274,62,426921680
9,"kahrs","random",16,273,273,61,425505840
10,"kahrs","random",16,274,274,62,424287520
11,"kahrs","random",16,273,273,61,424050048
12,"kahrs","random",16,273,273,62,423281824
13,"kahrs","random",16,275,275,62,425734192
14,"kahrs","random",16,275,275,62,424375456
15,"kahrs","random",16,274,274,62,425333168
16,"kahrs","random",16,273,274,62,426215072
17,"kahrs","random",16,274,274,62,424731904
18,"kahrs","random",16,274,274,62,424295664
19,"kahrs","random",16,274,274,62,426206256
20,"kahrs","random",16,274,274,62,423555920
21,"kahrs","random",16,275,275,62,424864576
22,"kahrs","random",16,274,274,62,424736688
23,"kahrs","random",16,273,273,61,425212096
24,"kahrs","random",16,274,274,62,426251712
25,"kahrs","random",16,273,273,61,424131424
26,"kahrs","random",16,273,273,61,425058480
27,"kahrs","random",16,274,274,62,427435536
28,"kahrs","random",16,274,274,62,424907280
29,"kahrs","random",16,273,273,62,425721520
30,"kahrs","random",16,275,275,62,425466672
31,"kahrs","random",16,270,270,60,411857072
32,"kahrs","random",16,272,272,61,424533280
33,"kahrs","random",16,275,275,62,426567696
34,"kahrs","random",16,274,274,62,424831088
35,"kahrs","random",16,273,273,62,424889568
36,"kahrs","random",16,274,274,62,424810016
37,"kahrs","random",16,274,274,62,424142704
38,"kahrs","random",16,275,275,62,427789200
39,"kahrs","random",16,275,275,62,423686656
40,"kahrs","random",16,273,273,62,425209152
41,"kahrs","random",16,272,272,61,423968768
42,"kahrs","random",16,275,275,63,430223072
43,"kahrs","random",16,273,273,61,426560688
44,"kahrs","random",16,274,274,62,424976768
45,"kahrs","random",16,276,276,63,427064912
46,"kahrs","random",16,273,273,61,423928384
47,"kahrs","random",16,272,272,61,424296144
48,"kahrs","random",16,274,274,61,425938736
49,"kahrs","random",16,273,273,62,424863616
50,"kahrs","random",16,274,274,62,425828352
51,"kahrs","random",16,273,273,61,424781536
52,"kahrs","random",16,274,274,62,425301760
53,"kahrs","random",16,282,282,63,426720784
54,"kahrs","random",16,273,273,62,424886496
55,"kahrs","random",16,273,273,61,424455888
56,"kahrs","random",16,273,273,61,425773392
57,"kahrs","random",16,274,274,61,424530608
58,"kahrs","random",16,272,272,61,424450544
59,"kahrs","random",16,272,272,61,425440656
60,"kahrs","random",16,273,273,62,423676480
61,"kahrs","random",16,275,275,62,425868688
62,"kahrs","random",16,276,276,62,425502352
63,"kahrs","random",16,279,279,63,426092992
64,"kahrs","random",16,284,284,65,425951712
65,"kahrs","random",16,274,274,62,425546848
66,"kahrs","random",16,277,277,63,424906000
67,"kahrs","random",16,277,277,62,425362176
68,"kahrs","random",16,276,276,63,424247856
69,"kahrs","random",16,275,275,62,423819184
70,"kahrs","random",16,276,276,62,424512960
71,"kahrs","random",16,273,273,62,425411760
72,"kahrs","random",16,276,276,62,424699712
73,"kahrs","random",16,274,274,62,424685840
74,"kahrs","random",16,274,274,61,412200864
75,"kahrs","random",16,276,276,62,424773968
76,"kahrs","random",16,274,274,62,425440592
77,"kahrs","random",16,275,275,62,425574544
78,"kahrs","random",16,276,276,62,424517808
79,"kahrs","random",16,287,287,66,424553808
